ID,gpt_4_generated_summaries,gpt_4_tags
402,"Jane reschedules meeting to 4:30 due to a 3-hour, 300km drive, plans to wait at the main entrance.","""O O O O O O O O O O O O O O O O O O O O"""
369,"Matt and Oliver were accepted into Stanford University, but Peter was not.","""O O O O O O O O O O O O"""
189,"Charlotte seeks Paula's help to correctly pronounce ""Natal lily"".","""O O O O O O O O O O"""
158,"Selah attempted to call someone, but their phone was off.","""O O O O O O O O O O"""
119,Mike's car was in the garage when a similar-looking Honda was hit on their street.,"""O O O O O O O O O O O O O O O O O"""
21,Emma is coming home soon and will inform Will upon arrival.,O O O O O O O O O O O
22,Emma is not hungry and will inform Will when she gets home.,O O O O O O O O O O O O O
20,Emma is not hungry and will inform Will when she gets home.,O O O O O O O O O O O
220,"Daniel, Mary, and Lucas discuss their experiences with playing DA Inquisition.","""O O O O O O O O O O O O"""
219,"Daniel, Mary, and Lucas discuss their experiences with playing DA Inquisition.","""O O O O O O O O O O O O O"""
145,"Wharton's birthday is next week and his friends plan to gift him a paper shredder, pending his confirmation.","""O O O O O O O O O O O O O O O O O O O O"""
149,"Wharton's birthday is next week and his friends plan to gift him a paper shredder, after confirming he wants it.","""O O O O O O O O O O O O O O O O O O O O"""
155,"Kelly finds Finnish sculpture garden's faces morbid, while Ollie thinks Nagoro village in Japan is creepy.","""O O O O O O O O O O O O O O O O O O O O O"""
180,Mary is broke and Carter agrees to lend her money in an hour.,"""O O O O O O O O O O O O"""
182,Mary is broke and Carter agrees to lend her money in an hour.,"""O O O O O O O O O O O O"""
